obsID,CountyID,impactLevel,FloodSource,countyName,EARegion,AltCountyName,ObservationDate,ImpactLevelDescription,FloodSourceDescription
1811,90,3,S,Conwy,Wales,Conwy,05/12/2015,Minor,Surface water
1811,88,3,S,Isle of Anglesey,Wales,Isle of Anglesey,05/12/2015,Minor,Surface water
1790,20,3,R,Gloucestershire,Midlands - Solihull,Gloucestershire,05/12/2015,Minor,River
1790,33,3,R,Shropshire,Midlands - Solihull,Shropshire,05/12/2015,Minor,River
1790,61,3,R,Telford and Wrekin,Midlands - Solihull,Telford and Wrekin,05/12/2015,Minor,River
1790,41,3,R,Worcestershire,Midlands - Solihull,Worcestershire,05/12/2015,Minor,River
1786,46,3,R,Darlington,Northeast - Leeds,Darlington,05/12/2015,Minor,River
1786,3,3,R,Tyne and Wear,Northeast - Leeds,Tyne and Wear,05/12/2015,Minor,River
1786,29,2,R,Northumberland,Northeast - Leeds,Northumberland,05/12/2015,Significant,River
1786,46,3,S,Darlington,Northeast - Leeds,Darlington,05/12/2015,Minor,Surface water
1786,3,3,S,Tyne and Wear,Northeast - Leeds,Tyne and Wear,05/12/2015,Minor,Surface water
1786,29,2,S,Northumberland,Northeast - Leeds,Northumberland,05/12/2015,Significant,Surface water
1788,24,2,R,Lancashire,Northwest - Warrington,Lancashire,05/12/2015,Significant,River
1788,24,2,S,Lancashire,Northwest - Warrington,Lancashire,05/12/2015,Significant,Surface water
1789,11,3,R,Cheshire,Northwest - Warrington,Cheshire,05/12/2015,Minor,River
1807,3,1,R,Tyne and Wear,Northeast - Leeds,Tyne and Wear,06/12/2015,Severe,River
1807,17,1,R,Durham,Northeast - Leeds,Durham,06/12/2015,Severe,River
1807,29,1,R,Northumberland,Northeast - Leeds,Northumberland,06/12/2015,Severe,River
1807,3,1,S,Tyne and Wear,Northeast - Leeds,Tyne and Wear,06/12/2015,Severe,Surface water
1807,17,1,S,Durham,Northeast - Leeds,Durham,06/12/2015,Severe,Surface water
1807,29,1,S,Northumberland,Northeast - Leeds,Northumberland,06/12/2015,Severe,Surface water
1796,11,3,R,Cheshire,Northwest - Warrington,Cheshire,06/12/2015,Minor,River
1791,13,1,R,Cumbria,Northwest - Warrington,Cumbria,06/12/2015,Severe,River
1791,13,1,S,Cumbria,Northwest - Warrington,Cumbria,06/12/2015,Severe,Surface water
1792,24,1,R,Lancashire,Northwest - Warrington,Lancashire,06/12/2015,Severe,River
1792,24,1,S,Lancashire,Northwest - Warrington,Lancashire,06/12/2015,Severe,Surface water
1799,30,3,R,North Yorkshire,Northeast - Leeds,N Yorkshire,06/12/2015,Minor,River
1799,55,3,R,York,Northeast - Leeds,York,06/12/2015,Minor,River
